type,titre,prix,localisation,surface,pièces,chambres,salles_de_bains,caractéristiques,description,prix_m2,parking,pool,furnished,bedrooms,bathrooms,city,standing,étage,état
Appartement,Appartement spacieux en vente sur boulevard Abdelkrim khetta...,1150000.0,"Guéliz,Marrakech",102.0,2.0,2.0,1.0,"Jardin, Terrasse, Piscine, Sécurité","Appartement de 102m² 2 chambres 1 salle de bain situé à Guéliz,Marrakech au prix de 1 150 000 DH (11 275 DH/m²) moyen standing À visiter rapidement !",11274.509803921568,False,False,False,2.0,1.0,Marrakech,moyen standing,1.0,neuf
Appartement,Appartement studio en vente au cœur de Guéliz,1150000.0,"Guéliz,Marrakech",50.0,2.0,2.0,1.0,Sécurité,"Appartement de 50m² 2 chambres 1 salle de bain situé à Guéliz,Marrakech au prix de 1 150 000 DH (23 000 DH/m²) haut standing Contactez-nous pour plus d'informations.",23000.0,False,False,False,2.0,1.0,Marrakech,haut standing,1.0,neuf
Appartement,Appartement Duplex en vente sur la route de Fès,1900000.0,"Routede Fez, Marrakech",146.0,2.0,2.0,2.0,"Jardin, Terrasse, Piscine, Meublé, Sécurité, Cuisine équipée","Appartement de 146m² 2 chambres 2 salles de bain situé à Routede Fez, Marrakech au prix de 1 900 000 DH (13 014 DH/m²) rénové, moyen standing, moderne Contactez-nous pour plus d'informations.",13013.698630136989,False,False,False,2.0,2.0,Marrakech,moyen standing,1.0,neuf
Appartement,Bel Appartement en vente à Agdal,2260000.0,"Agdal,Marrakech",90.0,2.0,2.0,2.0,"Jardin, Terrasse, Piscine, Concierge, Climatisation, Sécurité, Cuisine équipée","Appartement de 90m² 3 chambres 2 salles de bain situé à Agdal,Marrakech au prix de 2 260 000 DH (25 111 DH/m²) ensoleillé, vue dégagée, bien agencé À ne pas manquer !",25111.11111111111,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,Appartement F4 neuf à vendre à Californie,1654000.0,"Californie,Casablanca",99.0,2.0,2.0,2.0,"Jardin, Garage, Climatisation, Sécurité, Cuisine équipée, Four","Appartement de 99m² 3 chambres situé à Californie,Casablanca au prix de 1 654 000 DH (16 707 DH/m²) standing, rénové, bien agencé À ne pas manquer !",16707.070707070707,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à vendre à Mhamid. Surface totale 75 m²,540000.0,"Mhamid,Marrakech",75.0,2.0,2.0,1.0,"Ascenseur, Sécurité, Porte blindée, Cuisine équipée","Appartement de 75m² 2 chambres 1 salle de bain situé à Mhamid,Marrakech au prix de 540 000 DH (7 200 DH/m²) Contactez-nous pour plus d'informations.",7200.0,False,False,False,2.0,1.0,Marrakech,haut standing,1.0,neuf
Appartement,Vente d'un bel appartement à Route Casablanca. 2 belles cham...,114750.0,"RouteCasablanca, Marrakech",85.0,2.0,2.0,1.0,"Terrasse, Garage, Concierge, Meublé, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Double vitrage, Cuisine équipée","Appartement de 85m² 2 chambres 1 salle de bain situé à RouteCasablanca, Marrakech au prix de 114 750 DH (1 350 DH/m²) spacieux, ensoleillé, moderne Disponible immédiatement.",1350.0,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Superbe appartement à vendre à El Mansouria,770000.0,"ElMansouria, El Mansouria",74.0,2.0,2.0,1.0,Sécurité,"Appartement de 74m² 2 chambres 1 salle de bain situé à ElMansouria, El Mansouria au prix de 770 000 DH (10 405 DH/m²) moyen standing Belle opportunité !",10405.405405405403,False,False,False,2.0,1.0,El Mansouria,moyen standing,1.0,neuf
Appartement,Appartement F3 à vendre à Mesnana,1255500.0,"Mesnana,Tanger",86.0,2.0,2.0,1.0,"Jardin, Ascenseur, Climatisation, Sécurité, Cuisine équipée","Appartement de 86m² 2 chambres 1 salle de bain situé à Mesnana,Tanger au prix de 1 255 500 DH (14 599 DH/m²) moyen standing À visiter rapidement !",14598.837209302326,False,False,False,2.0,1.0,Tanger,moyen standing,1.0,neuf
Appartement,Nouveau projet résidentiel à Guéliz,1700000.0,"Guéliz,Marrakech",83.0,2.0,2.0,2.0,"Garage, Ascenseur, Piscine, Concierge, Meublé, Façade extérieure, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Porte blindée, Cuisine équipée, Four","Appartement de 83m² 2 chambres 2 salles de bain situé à Guéliz,Marrakech au prix de 1 700 000 DH (20 482 DH/m²) haut standing Belle opportunité !",20481.92771084337,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,SUPERBE appartement F3 avec des terrasses,953000.0,"Guéliz,Marrakech",82.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Ascenseur, Chambre rangement, Salon Marocain, Salon européen, Sécurité, Cuisine équipée","Appartement de 82m² 2 chambres 2 salles de bain situé à Guéliz,Marrakech au prix de 953 000 DH (11 622 DH/m²) bien agencé, vue dégagée, ensoleillé Contactez-nous pour plus d'informations.",11621.951219512195,False,False,False,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,Appartement 125m² en vente Rio beach,9900.0,"SidiRahal, Sidi Rahal",125.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Vue sur mer, Piscine, Concierge, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Cuisine équipée, Four","Appartement de 125m² 2 chambres 2 salles de bain situé à SidiRahal, Sidi Rahal au prix de 9 900 DH (79 DH/m²) Belle opportunité !",79.2,False,False,False,2.0,2.0,Sidi Rahal,moyen standing,2.0,neuf
Appartement,Appartement 108m² en vente Rio beach,11500.0,"SidiRahal, Sidi Rahal",108.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Vue sur mer, Piscine, Concierge, Antenne parabolique, Climatisation, Sécurité, Cuisine équipée, Four","Appartement de 108m² 3 chambres 2 salles de bain situé à SidiRahal, Sidi Rahal au prix de 11 500 DH (106 DH/m²) Belle opportunité !",106.48148148148148,False,False,False,2.0,2.0,Sidi Rahal,moyen standing,2.0,neuf
Appartement,Appartement 95m² en vente Rio beach,11500.0,"SidiRahal, Sidi Rahal",95.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Vue sur mer, Piscine, Concierge, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Four","Appartement de 95m² 2 chambres 2 salles de bain situé à SidiRahal, Sidi Rahal au prix de 11 500 DH (121 DH/m²) À visiter rapidement !",121.05263157894736,False,False,False,2.0,2.0,Sidi Rahal,moyen standing,2.0,neuf
Appartement,Appartement à l'achat à Oulfa. 2 belles chambres,1100000.0,"Oulfa,Casablanca",88.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Ascenseur, Concierge, Sécurité","Appartement de 88m² 3 chambres 2 salles de bain situé à Oulfa,Casablanca au prix de 1 100 000 DH (12 500 DH/m²) moyen standing Belle opportunité !",12500.0,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à vendre tanger gare routière,520000.0,"HayHassani, Tanger",63.0,2.0,2.0,1.0,"Ascenseur, Façade extérieure","Appartement de 63m² 2 chambres 1 salle de bain situé à HayHassani, Tanger au prix de 520 000 DH (8 254 DH/m²) rénové, ensoleillé, spacieux À ne pas manquer !",8253.968253968254,False,False,False,2.0,1.0,Tanger,haut standing,1.0,neuf
Appartement,Bell appart vue sur mer au centre de bouznika,977850.0,"Hamza,Bouznika",123.0,2.0,2.0,1.0,"Terrasse, Ascenseur, Vue sur mer, Cuisine équipée","Appartement de 123m² 3 chambres 1 salle de bain situé à Hamza,Bouznika au prix de 977 850 DH (7 950 DH/m²) bien agencé, calme, moderne À visiter rapidement !",7950.0,False,False,False,2.0,1.0,Bouznika,haut standing,1.0,neuf
Appartement,Bel appartment avec terrasse dans un quartier calme,1990000.0,"ValFleury, Casablanca",146.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Concierge, Chambre rangement, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Cheminée, Sécurité, Double vitrage, Cuisine équipée, Four, Micro-ondes","Appartement de 146m² 3 chambres 3 salles de bain situé à ValFleury, Casablanca au prix de 1 990 000 DH (13 630 DH/m²) spacieux, lumineux, calme À ne pas manquer !",13630.13698630137,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartements Haut Standing de 76m2 Quartier Neuf,610000.0,"AlKawtar, Bouznika",76.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Chambre rangement, Façade extérieure, Salon Marocain, Porte blindée, Cuisine équipée, Four","Appartement de 76m² 2 chambres 2 salles de bain situé à AlKawtar, Bouznika au prix de 610 000 DH (8 026 DH/m²) bien agencé, calme, ensoleillé À ne pas manquer !",8026.315789473684,False,False,False,2.0,2.0,Bouznika,haut standing,1.0,neuf
Appartement,Appartement en vente à Californie. 3 chambres,1700000.0,"Californie,
								Casablanca",144.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Piscine, Concierge, Meublé, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four","Park Avenue – L’Excellence au Cœur de Californie, Casablanca

Découvrez Park Avenue, une résidence d’exception située au cœur du prestigieux quartier Californie à Casablanca. Offrant des appartements et studios haut de gamme de 33 à 144 m², ce projet allie raffinement, confort et modernité pour un cadre de vie d’exception.

Des équipements de standing pour un quotidien parfait :
- Salle de cinéma pour vos moments de détente et de loisirs.
-...",13385.826771653545,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement 2 chambres salon à vendre à Casablanca,962450.0,"HayHassani,
								Casablanca",106.0,2.0,2.0,2.0,"Climatisation, Cuisine équipée, Four","Missimi Living un nouveau standard de confort en plein cœur de la ville de Casablanca.

Situé au quartier de Hay Hassani, à 2 pas de Marjane et à 6 min de la station du tramway, ce projet unique incarne l'alliance parfaite entre design moderne, prestations de standing et cadre de vie raffiné.

Chaque détail du projet Missimi Living a été soigneusement pensé pour offrir un cadre de vie incomparable. L’architecture contemporaine et élégante est...",12499.35064935065,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Apartement de rêve à Alcudia smir,1520000.0,"Mdiq,Tétouan",94.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Vue sur mer, Vue sur les montagnes, Piscine, Concierge, Façade extérieure, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage","Grand Apartement de haut standing à Alcudia Smir
Toute la ville, Fnideq
il y a 1 semaine
1 520 000 DH

Il ne faut jamais envoyer d'argent à l'avance au vendeur par virement ou agence de transfert.

Categorie
Appartements, à vendre

Chambres
2
Salle de bain
2
Surface totale
130
Disponibilité
Immédiate
Salons
1
Standing
Haut standing
Surface habitable
86
Âge du bien
1-5 ans
Étage
2

Description
Apartement de haut standing, donnant sur 3 façades, à...",11782.945736434109,False,False,False,2.0,2.0,Tetouan,haut standing,2.0,neuf
Appartement,Appartement à Khouzama 5 min CFC,790000.0,"LaFloride, Casablanca",70.0,2.0,2.0,2.0,"Terrasse, Garage, Salon Marocain, Sécurité, Cuisine équipée","Appartement 70 m2 à vendre situé à 5 min de la CFC.
3 chambres, Salon, 2 Salles de bain, balcon",11285.714285714286,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appart 3ch à Bachkou,1880000.0,"QuartierBachkou, Casablanca",127.0,2.0,2.0,2.0,"Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Cuisine équipée","Appartement de 127m2 haut standing situé au 3ème étage avec ascenseur et composé de 3 chambres dont une suite parentale avec sa salle de bain, un grand salon, un séjour ou coin salle à manger, une cuisine equipée récemment retapée et une deuxième salle de bain. L'appartement est situé à 150m de carrefour market de taddart, à 200m de la station de tram Oasis, et à côté de plusieurs commerces",14803.149606299212,False,False,False,2.0,2.0,Casablanca,haut standing,3.0,neuf
Appartement,2 chambres rénové et meublé avec piscine et balcon,1150000.0,"Guéliz,Marrakech",78.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Ascenseur, Vue sur les montagnes, Piscine, Concierge, Meublé, Climatisation, Sécurité, Réfrigérateur, Micro-ondes","Superbe appartement à Gueliz (Av. Al Mouqaouama)
- Vendu entièrement rénové et meublé
- 78 m² situé dans une résidence familiale, avec piscine et jardin idéalement proche de la gare et de toutes les commodités.

Caractéristiques principales :
- Superficie : 78 m² 
- Emplacement : Marrakech, Gueliz
- Orientation Sud-Ouest
- Type de bien : Appartement avec balcon
- Étages : 4eme avec ascenseur
- Proximité :non loin de la gare et de toutes...",14743.589743589744,False,True,True,2.0,2.0,Marrakech,haut standing,1.0,neuf
Appartement,"Studio Haut Standing sur 2 Mars 
Qu les Hopitaux",870000.0,"LesHôpitaux, Casablanca",42.0,2.0,2.0,2.0,"Garage, Ascenseur, Concierge, Façade extérieure, Salon européen, Climatisation, Sécurité, Cuisine équipée","Au cœur du quartier des Hôpitaux ""2 Mars""
La résidence Soumia met à votre disposition des studios haut standing soigneusement conçus pour vous permettre de vous épanouir et d'investir en toute sérénité.
Studios haut standing à partir de 870 000 dhs 
Superficie allant de 42 m2 à 64 m2
Finition Haut de gamme
Climatisation Centralisée Réversible
Ascenseurs Haut de gamme
À proximité de toutes les commodités
Livraison dans 1 mois",20232.558139534885,False,False,False,2.0,2.0,Casablanca,haut standing,3.0,neuf
Appartement,"Appartement á vendre Kénitra 
avenue Mohamed Diouri",1350000.0,"Maamora,Kénitra",100.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Concierge, Chambre rangement, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée","Dans l’un des quartiers les plus prisés de Kénitra, au cœur de l’Avenue Mohamed Diouri, découvrez ce magnifique appartement alliant confort, espace et fonctionnalité, idéal pour une vie familiale harmonieuse.

Dès l’entrée, vous serez séduit par un double salon lumineux offrant un espace de réception chaleureux et convivial, parfait pour accueillir famille et amis.

La vaste cuisine entièrement équipée, accompagnée d’un coin buanderie discret, sé...",8333.333333333334,False,False,False,2.0,2.0,Kenitra,haut standing,3.0,neuf
Appartement,Appartement en vente à Californie. 3 chambres,1300000.0,"Californie,Casablanca",93.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Piscine, Concierge, Meublé, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four","Appartement de 93m² 3 chambres 2 salles de bain situé à Californie,Casablanca au prix de 1 300 000 DH (13 978 DH/m²) bien agencé, vue dégagée, calme Contactez-nous pour plus d'informations.",13978.494623655914,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Beau F3 à vendre à Mesnana Tanger,971500.0,"Mesnana,Tanger",67.0,2.0,2.0,1.0,"Jardin, Ascenseur, Climatisation, Sécurité, Cuisine équipée","Appartement de 67m² 2 chambres 1 salle de bain situé à Mesnana,Tanger au prix de 971 500 DH (14 500 DH/m²) moyen standing À visiter rapidement !",14500.0,False,False,False,2.0,1.0,Tanger,moyen standing,1.0,neuf
Appartement,Superbe appartement à vendre à Mansouria. 89 m²,1207500.0,"ElMansouria, El Mansouria",105.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Ascenseur, Vue sur mer, Piscine, Concierge, Chambre rangement, Façade extérieure, Climatisation, Sécurité, Cuisine équipée","Appartement de 105m² 2 chambres 2 salles de bain situé à ElMansouria, El Mansouria au prix de 1 207 500 DH (11 500 DH/m²) moyen standing Belle opportunité !",11500.0,False,False,False,2.0,2.0,El Mansouria,moyen standing,1.0,neuf
Appartement,Appartement à vendre à Khmiss Zmamra,280500.0,"Zemamra,Zemamra",66.0,2.0,2.0,1.0,,"Appartement de 66m² 2 chambres 1 salle de bain situé à Zemamra,Zemamra au prix de 280 500 DH (4 250 DH/m²) Contactez-nous pour plus d'informations.",4250.0,False,False,False,2.0,1.0,Zemamra,haut standing,1.0,neuf
Appartement,"Apartement de 75m² en vente, Résidence El Yassamine",700000.0,"Bernoussi,Casablanca",75.0,2.0,2.0,1.0,"Jardin, Garage, Piscine, Climatisation, Sécurité, Cuisine équipée","Appartement de 75m² 2 chambres 1 salle de bain situé à Bernoussi,Casablanca au prix de 700 000 DH (9 333 DH/m²) spacieux, calme, moderne À visiter rapidement !",9333.333333333334,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à vendre à Ait Melloul. 2 belles chambres,474500.0,"AitMelloul, Ait Melloul",73.0,2.0,2.0,1.0,"Jardin, Garage","Appartement de 73m² 2 chambres 1 salle de bain situé à AitMelloul, Ait Melloul au prix de 474 500 DH (6 500 DH/m²) bien agencé, rénové, ensoleillé À ne pas manquer !",6500.0,False,False,False,2.0,1.0,Ait Melloul,haut standing,1.0,neuf
Appartement,Appartement de 75m2 neuf à vendre à Hay Hassani,925700.0,"HayHassani, Casablanca",75.0,2.0,2.0,1.0,"Climatisation, Cuisine équipée, Four","Appartement de 75m² 2 chambres 1 salle de bain situé à HayHassani, Casablanca au prix de 925 700 DH (12 343 DH/m²) moyen standing À visiter rapidement !",12342.666666666666,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Un 2 chambres salon à vendre en plein cœur de Casablanca,906800.0,"HayHassani, Casablanca",70.0,2.0,2.0,1.0,"Climatisation, Cuisine équipée, Four","Appartement de 70m² 2 chambres 1 salle de bain situé à HayHassani, Casablanca au prix de 906 800 DH (12 954 DH/m²) moyen standing Belle opportunité !",12954.285714285714,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement de 92m2 neuf à vendre à Hay Hassani,1695750.0,"HayHassani, Casablanca",92.0,2.0,2.0,2.0,"Climatisation, Cuisine équipée, Four","Appartement de 92m² situé à HayHassani, Casablanca au prix de 1 695 750 DH (18 432 DH/m²) moderne, standing, bien agencé À ne pas manquer !",18432.065217391304,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement 106m2 neuf à vendre à Hay Hassani,1227050.0,"HayHassani, Casablanca",102.0,2.0,2.0,2.0,"Climatisation, Cuisine équipée, Four","Appartement de 102m² situé à HayHassani, Casablanca au prix de 1 227 050 DH (12 030 DH/m²) moyen standing Disponible immédiatement.",12029.901960784313,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement neuf à vendre à Hay Hassani,1260650.0,"HayHassani, Casablanca",106.0,2.0,2.0,1.0,"Climatisation, Cuisine équipée, Four","Appartement de 106m² 3 chambres 1 salle de bain situé à HayHassani, Casablanca au prix de 1 260 650 DH (11 893 DH/m²) moyen standing Contactez-nous pour plus d'informations.",11892.924528301886,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement 104m2 à vendre à Hay Hassani,1224950.0,"HayHassani, Casablanca",104.0,2.0,2.0,2.0,"Climatisation, Cuisine équipée, Four","Appartement de 104m² situé à HayHassani, Casablanca au prix de 1 224 950 DH (11 778 DH/m²) moyen standing À ne pas manquer !",11778.365384615385,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,2 chambres salon à vendre à hay Hassani,962450.0,"HayHassani, Casablanca",77.0,2.0,2.0,1.0,"Climatisation, Cuisine équipée, Four","Appartement de 77m² 2 chambres 1 salle de bain situé à HayHassani, Casablanca au prix de 962 450 DH (12 499 DH/m²) rénové, moyen standing, spacieux Contactez-nous pour plus d'informations.",12499.35064935065,False,False,False,2.0,1.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement de standing F3 à vendre à Hay Hassani,794450.0,"HayHassani, Casablanca",70.0,2.0,2.0,2.0,"Climatisation, Cuisine équipée, Four","Appartement de 70m² situé à HayHassani, Casablanca au prix de 794 450 DH (11 349 DH/m²) calme, moyen standing, lumineux Belle opportunité !",11349.285714285714,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à vendre. Surface de 101 m²,1330000.0,"Oulfa,Casablanca",101.0,2.0,2.0,2.0,"Piscine, Sécurité","Appartement de 101m² 3 chambres situé à Oulfa,Casablanca au prix de 1 330 000 DH (13 168 DH/m²) moyen standing Belle opportunité !",13168.316831683169,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement à vendre à Californie. Superficie 99m2,1706230.0,"Californie,Casablanca",99.0,2.0,2.0,2.0,"Jardin, Garage, Climatisation, Sécurité, Cuisine équipée, Four","Appartement de 99m² 3 chambres situé à Californie,Casablanca au prix de 1 706 230 DH (17 235 DH/m²) standing Disponible immédiatement.",17234.646464646463,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Superbe appartement de 114m2 à vendre à Tanger,1311000.0,"Mesnana,Tanger",114.0,2.0,2.0,2.0,"Jardin, Garage, Ascenseur, Climatisation, Sécurité, Cuisine équipée","Appartement de 114m² 3 chambres 2 salles de bain situé à Mesnana,Tanger au prix de 1 311 000 DH (11 500 DH/m²) moyen standing À ne pas manquer !",11500.0,False,False,False,2.0,2.0,Tanger,moyen standing,1.0,neuf
Appartement,Appartement à vendre à Mers Sultan. 2 chambres agréables,1488000.0,"MersSultan, Casablanca",96.0,2.0,2.0,2.0,"Ascenseur, Concierge, Climatisation, Sécurité","Appartement de 96m² 2 chambres 2 salles de bain situé à MersSultan, Casablanca au prix de 1 488 000 DH (15 500 DH/m²) standing Contactez-nous pour plus d'informations.",15500.0,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Bel appartement spacieux Bien ensolleie' a' vendre,1100000.0,"AlQods, Casablanca",140.0,2.0,2.0,2.0,"Terrasse, Garage, Meublé, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Sécurité, Porte blindée, Cuisine équipée, Réfrigérateur, Four, Machine à laver","Appartement de 140m² 5 chambres 2 salles de bain situé à AlQods, Casablanca au prix de 1 100 000 DH (7 857 DH/m²) bien agencé, moderne, calme À visiter rapidement !",7857.142857142857,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Appartement de 163 m2 à 2 mdhs,2000000.0,"MaârifExtension, Casablanca",163.0,2.0,2.0,2.0,"Terrasse, Garage, Ascenseur, Concierge, Salon européen, Sécurité","Appartement de 163m² 3 chambres 2 salles de bain situé à MaârifExtension, Casablanca au prix de 2 000 000 DH (12 270 DH/m²) moyen standing Disponible immédiatement.",12269.938650306747,False,False,False,2.0,2.0,Casablanca,moyen standing,3.0,neuf
Appartement,Opportunité d’investissement locatif à Dar Bouazza,1350000.0,"DarBouazza, Dar Bouazza",112.0,2.0,2.0,2.0,"Jardin, Terrasse, Garage, Piscine, Concierge, Meublé, Façade extérieure, Salon Marocain, Salon européen, Sécurité, Cuisine équipée, Réfrigérateur, Four, Machine à laver","Appartement de 112m² 2 chambres 2 salles de bain situé à DarBouazza, Dar Bouazza au prix de 1 350 000 DH (12 054 DH/m²) spacieux, moderne, rénové À visiter rapidement !",12053.57142857143,False,False,False,2.0,2.0,Dar Bouazza,moyen standing,2.0,neuf
